file_name,model_name,f1_macro,recall,specificity
Feature_files\Anova-9-features.csv,LGBMClassifier(class_weight='balanced')_Anova-9-features.pkl,0.5759856768364632,0.6145827537245305,0.9037073536213173
Feature_files\RFE-9-features.csv,LGBMClassifier(class_weight='balanced')_RFE-9-features.pkl,0.5657469230263754,0.657498441865154,0.9041289734439009
Feature_files\Anova-8-features.csv,ExtraTreeClassifier(class_weight='balanced')_Anova-8-features.pkl,0.5651039510941656,0.5488989931092267,0.8751254259517239
Feature_files\RFE-5-features.csv,LGBMClassifier(class_weight='balanced')_RFE-5-features.pkl,0.560693682986886,0.6426334229476054,0.9045911881790119
Feature_files\RFE-3-features.csv,ExtraTreeClassifier(class_weight='balanced')_RFE-3-features.pkl,0.5603589539666001,0.6184543691282569,0.8816534418943126
Feature_files\RFE-7-features.csv,ExtraTreeClassifier(class_weight='balanced')_RFE-7-features.pkl,0.5532809606080203,0.5272513091453228,0.8807518196574147
Feature_files\RFE-10-features.csv,ExtraTreeClassifier(class_weight='balanced')_RFE-10-features.pkl,0.5524262672827922,0.623416736725262,0.8774794063609871
Feature_files\Anova-5-features.csv,LGBMClassifier(class_weight='balanced')_Anova-5-features.pkl,0.5377923891950196,0.6162980723380076,0.8966605306610905
Feature_files\RFE-10-features.csv,LGBMClassifier(class_weight='balanced')_RFE-10-features.pkl,0.5270195243196634,0.6509359305556414,0.9022078410678034
Feature_files\RFE-8-features.csv,ExtraTreeClassifier(class_weight='balanced')_RFE-8-features.pkl,0.5249392081975165,0.6039283142375296,0.8820731173001247
Feature_files\Anova-7-features.csv,ExtraTreeClassifier(class_weight='balanced')_Anova-7-features.pkl,0.5236646477983564,0.49660842344401457,0.8734193317428425
Feature_files\RFE-3-features.csv,LGBMClassifier(class_weight='balanced')_RFE-3-features.pkl,0.5161236722038852,0.6596579313030437,0.9041597701961495
Feature_files\Anova-6-features.csv,LGBMClassifier(class_weight='balanced')_Anova-6-features.pkl,0.5153950286192172,0.6389282607040747,0.903885350093331
Feature_files\RFE-4-features.csv,LGBMClassifier(class_weight='balanced')_RFE-4-features.pkl,0.5062389704450757,0.6378737323705124,0.9028341463505584
Feature_files\RFE-10-features.csv,GradientBoostingClassifier(verbose=3)_RFE-10-features.pkl,0.506227485812978,0.4730487574920089,0.8230153087346379
Feature_files\RFE-4-features.csv,GradientBoostingClassifier(verbose=3)_RFE-4-features.pkl,0.500170903200417,0.4700686936397612,0.828124519429435
Feature_files\Anova-10-features.csv,GradientBoostingClassifier(verbose=3)_Anova-10-features.pkl,0.4976182702943103,0.4672740303175086,0.8225039333002689
Feature_files\RFE-7-features.csv,GradientBoostingClassifier(verbose=3)_RFE-7-features.pkl,0.4960487833544359,0.46476088585513653,0.8224829824297537
Feature_files\RFE-9-features.csv,GradientBoostingClassifier(verbose=3)_RFE-9-features.pkl,0.49329551776497577,0.4613742193495248,0.8234302351685617
Feature_files\Anova-8-features.csv,GradientBoostingClassifier(verbose=3)_Anova-8-features.pkl,0.48791193566003316,0.45843797100193096,0.8205298981926559
Feature_files\Anova-7-features.csv,GradientBoostingClassifier(verbose=3)_Anova-7-features.pkl,0.4866801499933664,0.45894535475635667,0.8244416368077022
Feature_files\Anova-9-features.csv,GradientBoostingClassifier(verbose=3)_Anova-9-features.pkl,0.48385920980153224,0.4574041792688761,0.8221815629709912
Feature_files\RFE-6-features.csv,GradientBoostingClassifier(verbose=3)_RFE-6-features.pkl,0.48110923842950104,0.4544736065045754,0.8205904678896495
